Date,Name,Year,Letterboxd URI,Rating
2024-11-09,Fargo,1996,https://boxd.it/2aHM,4
2024-11-09,The Gentlemen,2019,https://boxd.it/iYBQ,4
2024-11-09,The Witch: Part 1. The Subversion,2018,https://boxd.it/jhIm,4
2024-11-09,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2024-11-09,The Platform,2019,https://boxd.it/mUm6,3.5
2024-11-09,Requiem for a Dream,2000,https://boxd.it/29VI,4
2024-11-09,Sleepy Hollow,1999,https://boxd.it/26u0,3
2024-11-09,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2024-11-09,Ju-on: The Grudge,2002,https://boxd.it/1SY6,2.5
2024-11-09,The A-Team,2010,https://boxd.it/1dHS,3
2024-11-09,National Treasure,2004,https://boxd.it/27x0,3.5
2024-11-09,The Other Guys,2010,https://boxd.it/1rtq,4
2024-11-09,For a Few Dollars More,1965,https://boxd.it/29eu,4
2024-11-09,Gonjiam: Haunted Asylum,2018,https://boxd.it/ioyw,3
2024-11-09,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,3.5
2024-11-09,The Ring,2002,https://boxd.it/2a70,3
2024-11-09,1408,2007,https://boxd.it/25Vu,3.5
2024-11-09,Grave Encounters,2011,https://boxd.it/D1G,3
2024-11-09,A Haunting in Venice,2023,https://boxd.it/zGdg,2.5
2024-11-09,The Butterfly Effect,2004,https://boxd.it/27M0,4.5
2024-11-09,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-11-09,Marrowbone,2017,https://boxd.it/dZVC,3
2024-11-09,Day Shift,2022,https://boxd.it/sn8W,3
2024-11-09,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3.5
2024-11-09,Tag,2018,https://boxd.it/gh7Y,4
2024-11-09,Death at a Funeral,2007,https://boxd.it/27dO,3
2024-11-09,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2024-11-09,The Last Stop in Yuma County,2023,https://boxd.it/DCVQ,3
2024-11-09,Life,2017,https://boxd.it/dRqG,2.5
2024-11-09,The Guilty,2021,https://boxd.it/kOPW,3
2024-11-09,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2024-11-09,City Lights,1931,https://boxd.it/29ki,4
2024-11-09,Unbreakable,2000,https://boxd.it/1XV2,3.5
2024-11-09,Uncut Gems,2019,https://boxd.it/gXGc,3.5
2024-11-09,Disturbia,2007,https://boxd.it/20rk,3
2024-11-09,Saltburn,2023,https://boxd.it/z4eg,4
2024-11-09,City Hunter: Shinjuku Private Eyes,2019,https://boxd.it/jGiy,3
2024-11-09,Leave the World Behind,2023,https://boxd.it/re0i,3.5
2024-11-09,The Beekeeper,2024,https://boxd.it/wJzS,2.5
2024-11-09,Enemy,2013,https://boxd.it/5xtO,3.5
2024-11-09,Minority Report,2002,https://boxd.it/2aWi,4
2024-11-09,The Last Samurai,2003,https://boxd.it/29ZA,4
2024-11-09,Arrival,2016,https://boxd.it/aNGk,3.5
2024-11-09,Evolution,2001,https://boxd.it/1YMK,2.5
2024-11-09,Manjummel Boys,2024,https://boxd.it/EtUc,4
2024-11-09,Smile,2022,https://boxd.it/xjfE,3
2024-11-09,Deadpool,2016,https://boxd.it/9fOC,4
2024-11-09,That's My Boy,2012,https://boxd.it/35IW,3
2024-11-09,Hereditary,2018,https://boxd.it/hNVe,3
2024-11-09,Bleach,2018,https://boxd.it/eRmG,4
2024-11-09,Madgaon Express,2024,https://boxd.it/JzcA,3.5
2024-11-09,Kong: Skull Island,2017,https://boxd.it/9ewM,3.5
2024-11-09,Monkey Man,2024,https://boxd.it/kvsO,3.5
2024-11-09,Primal Fear,1996,https://boxd.it/28ws,3.5
2024-11-09,The Italian Job,2003,https://boxd.it/1Y86,3
2024-11-09,The Shining,1980,https://boxd.it/29Nu,4
2024-11-09,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2024-11-09,Road House,2024,https://boxd.it/cdzQ,3
2024-11-09,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4
2024-11-09,Constantine,2005,https://boxd.it/2a7E,3.5
2024-11-09,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4.5
